"Suno Prompts"
"Narrated Spoken Word Without Music: Create a minimalist, ambient underscore suitable for theological narration. The music should breathe beneath the spoken word like parchment beneath ink—subtle, unobtrusive, and reverent. Let it sustain the gravity of the words, never overtaking them, but enriching the atmosphere with restrained harmonic movement and sacred stillness."
"Solo acoustic guitar loop in a traditional country style at 100 BPM. Fingerpicked pattern with a warm, twangy tone. Emphasis on open chords like G, C, D, and Em. Includes subtle hammer-ons and slides for expressive phrasing. Natural reverb and a slightly roomy, intimate recording feel. Ideal for storytelling and heartfelt lyrics in a country ballad."
"Solo acoustic guitar loop in a rugged, outlaw country style at 100 BPM. Raw strumming with a driving, percussive feel. Use of palm muting, occasional string slaps, and open-position chords like E, A, and D with bluesy embellishments. Slightly detuned or worn-in guitar tone with a dry, close-mic’d recording. Evokes dusty highways, backporch grit, and southern attitude."
"Electric guitar loop in a modern progressive metalcore style at 120 BPM. Tight, djent-inspired rhythm riff with syncopated chugs, polymetric accents, and palm-muted low-string riffs in drop tuning (e.g., Drop C or Drop A). Includes ambient high-end textures with reverb-drenched harmonics or layered clean arpeggios. Heavy tone with precise gain, tight low-end, and percussive attack. Ideal for a breakdown or intense build-up in a cinematic metalcore track."
"Avant Garde, Bass (male), Ondes Martenot, mongolian guitar, biblically inspired lyrics book of Genesis chapter 2, Andante 97 bpm, B Locrian"
"slow psychedelic rock, Rapper (Female), harmonica, synthesizer, drums, Andante 84 bpm, B Ionian"
"Upbeat Jazz, MC (Female), beat, synth, biblically inspired lyrics book of Malachi chapter 4, Largo 50 bpm, C# Mixolydian"
"Intelligent Drum n Bass, Mezzo-Soprano (female), french horn, bağlama, jarana, Prestissimo 419 bpm, A# Aeolian"
"Corporate Upbeat, Mezzo-Soprano (female), cello, sub-bass, biblically inspired lyrics book of Hebrews chapter 4, Moderato 108 bpm, A Aeolian"
"slow folk ballad, Kargyraa (male), guitar, sub-bass, Brass, Larghetto 65 bpm, B Dorian"
"Cinematic Score, Countertenor (male), Harmonium, mandolin, biblically inspired lyrics book of Jude chapter 1, Presto 169 bpm, G Ionian"
"reverb, Soprano (female), violin, guttural throat singing, trumpet, Andante 106 bpm, B Locrian"
"fast grindcore, Countertenor (male), clarinet, oud, biblically inspired lyrics book of 2 Corinthians chapter 4, Larghetto 62 bpm, A Mixolydian"
"chicano rap, Contralto (female), guttural throat singing, cello, Computer-based Effects, Prestissimo 217 bpm, E Aeolian"
"math rock, Bass (male), Strings, synthesizer, biblically inspired lyrics book of 1 John chapter 4, Allegro 168 bpm, A Aeolian"
"Acid Techno, Mezzo-Soprano (female), tuba, tabla, violin, Larghetto 66 bpm, B Phrygian"
"noise rock, Sygyt (male), sub-bass, bass guitar, biblically inspired lyrics book of Philippians chapter 3, Adagio 66 bpm, A Mixolydian"
"Early 2000s Drum n Bass, MC (Female), didgeridoo, bongo, castanets, Presto 186 bpm, F# Locrian"
"Burning Jazz, Liquid Drum and Bass, Tenor (male), plucked bass, harp, biblically inspired lyrics book of Ecclesiastes chapter 7, Prestissimo 219 bpm, Db Lydian"
"Hip Hop 80-115 BPM, cryptic lyricism (Female), cello, kazoo, electric guitar, Moderato 109 bpm, G Phrygian"
"fast aggressive phonk, Countertenor (male), piano, drums, biblically inspired lyrics book of Jude chapter 1, Larghetto 62 bpm, G Locrian"
"fast disco, Ezengileer (male), french horn, marimba, flute, Presto 193 bpm, Bb Ionian"
"Avant Garde, Mezzo-Soprano (female), Sampler, vihuela, biblically inspired lyrics book of 3 John chapter 1, Allegro 155 bpm, Eb Lydian"
"smooth, Mezzo-Soprano (female), tambourine, oboe, harmonica, Andante 94 bpm, C# Mixolydian"
"Classical, structured forms, sonata, homophony., Mezzo-Soprano (female), bassoon, flute, biblically inspired lyrics book of 1 Thessalonians chapter 3, Presto 189 bpm, Gb Phrygian"
"Burning Jazz, Liquid Drum and Bass, MC (Female), Brass, organ, kazoo, Larghetto 64 bpm, Eb Mixolydian"
"Programmatic Music, MC (Female), steel drum, castanets, biblically inspired lyrics book of Revelation chapter 22, Prestissimo 234 bpm, B Ionian"
"narcocorridos, cryptic lyricism (Male), bass guitar, banjo, harmonica, Allegro 137 bpm, F# Dorian"
"Upbeat Jazz, Countertenor (male), banjo, ukulele, biblically inspired lyrics book of Acts chapter 28, Allegro 124 bpm, Bb Lydian"
"Drum n Bass, Ezengileer (male), harp, flute, didgeridoo, Allegro 145 bpm, D# Aeolian"
"Neurofunk Drum n Bass, Tenor (male), fiddle, trumpet, biblically inspired lyrics book of Hebrews chapter 9, Allegro 134 bpm, Ab Dorian"
"RPG Video Game Original Sound Track, Bass (male), castanets, jarana, harp, Largo 43 bpm, Ab Lydian"
"krautrock, Emcee (Female), organ, synthesizer, biblically inspired lyrics book of Obadiah chapter 1, Largo 41 bpm, G Phrygian"
"vaporwave, Khoomei (male), Computer-based Effects, tuba, kemenche, Prestissimo 409 bpm, F Phrygian"
"fast reggaeton, Bass (male), bagpipes, trumpet, biblically inspired lyrics book of Isaiah chapter 28, Prestissimo 281 bpm, Bb Dorian"
"Choral Music, Mezzo-Soprano (female), xylophone, conga, guitar, Andante 83 bpm, A Mixolydian"
"Baroque, Complex polyphony, ornate melodies, Bass (male), flute, mongolian guitar, biblically inspired lyrics book of 1 John chapter 4, Allegro 163 bpm, A# Phrygian"
"heavy ambient drone, MC (Male), piano, guitar, didgeridoo, Prestissimo 201 bpm, F# Phrygian"
"Deep House, MC (Female), acoustic guitar, trumpet, harmonica, Presto 196 bpm, B Dorian"
"death trips, Baritone (male), synthesizer, cello, biblically inspired lyrics book of 2 Chronicles chapter 24, Adagio 71 bpm, Eb Mixolydian"
"Progressive Rock, Sygyt (male), Ondes Martenot, clarinet, steel drum, Moderato 116 bpm, F# Dorian"
"kpop, Baritone (male), guttural throat singing, harp, biblically inspired lyrics book of 2 Samuel chapter 13, Prestissimo 325 bpm, D Aeolian"
"Fantasy RPG Original Sound Track, Baritone (male), bassoon, tabla, beat, Andante 107 bpm, Eb Phrygian"
"Modernism, Tenor (male), electric guitar, Computer-based Effects, biblically inspired lyrics book of James chapter 3, Allegro 160 bpm, D# Aeolian"
"slow folk ballad, MC (Female), tuba, vihuela, Strings, Allegro 150 bpm, C# Mixolydian"
"art pop, Tenor (male), synth, horn, biblically inspired lyrics book of Joshua chapter 16, Adagio 75 bpm, C# Aeolian"
"breakcore, Soprano (female), drums, jarana, zither, Prestissimo 253 bpm, A# Phrygian"
"haunting atmospheric witch house, cryptic lyricism (Male), harmonica, kemenche, biblically inspired lyrics book of Deuteronomy chapter 20, Adagio 68 bpm, B Mixolydian"
"Corporate Upbeat, Soprano (female), oboe, Ondes Martenot, clarinet, Moderato 119 bpm, F# Mixolydian"
"Fantasy RPG Video Game OST, Mezzo-Soprano (female), tabla, tambourine, biblically inspired lyrics book of 1 Timothy chapter 5, Andante 76 bpm, Eb Ionian"
"corrido, Rapper (Female), steel drum, tabla, mandolin, Moderato 119 bpm, F Aeolian"
"bluegrass gospel, Sygyt (male), trombone, Sampler, biblically inspired lyrics book of Nehemiah chapter 8, Moderato 119 bpm, Ab Lydian"
"Mo Town, MC (Female), electric guitar, oud, guttural throat singing, Adagio 67 bpm, A Phrygian"
"slow psychedelic rock, Khoomei (male), sub-bass, cello, biblically inspired lyrics book of Numbers chapter 12, Moderato 110 bpm, C# Mixolydian"
"Grime 140 BPM, Baritone (male), bagpipes, djembe, clarinet, Moderato 115 bpm, A Phrygian"
"classic 80s heart throb freestyle, rapid-fire vocals (Male), harp, horsehead fiddle, biblically inspired lyrics book of Ezekiel chapter 18, Prestissimo 410 bpm, Db Ionian"
"60s Proto Metal, Bass (male), bagpipes, castanets, guitar, Adagio 68 bpm, Db Mixolydian"
"fast jazz fusion, Mezzo-Soprano (female), beat, drums, biblically inspired lyrics book of Job chapter 6, Presto 181 bpm, D# Ionian"
"Gospel Rap, Baritone (male), guttural throat singing, Computer-based Effects, trumpet, Allegro 149 bpm, B Mixolydian"
"classical celtic guitar, Soprano (female), bajo sexto, tambourine, biblically inspired lyrics book of Numbers chapter 25, Presto 189 bpm, A Phrygian"
"gospel hymn, Ezengileer (male), trumpet, oboe, synth, Adagio 76 bpm, B Aeolian"
"american folk, Rapper (Female), horsehead fiddle, fiddle, biblically inspired lyrics book of Galatians chapter 3, Presto 196 bpm, Db Lydian"
"lo-fi hip-hop, Baritone (male), castanets, vibraphone, violin, Prestissimo 262 bpm, Eb Ionian"
"Expressionist, Intense emotion, dissonance, atonal, fragmented melodies, Rapper (Male), accordion, trombone, biblically inspired lyrics book of 1 Thessalonians chapter 5, Larghetto 63 bpm, D# Lydian"
"Soundtrack, Chylandyk (male), accordion, trumpet, acoustic guitar, Larghetto 63 bpm, G Aeolian"
"Space music , Tenor (male), harp, conga, biblically inspired lyrics book of Micah chapter 4, Presto 191 bpm, Gb Ionian"
"glitch, Soprano (female), ukulele, saxophone, guitar, Moderato 109 bpm, Eb Aeolian"
"reverb, MC (Female), tuba, bagpipes, biblically inspired lyrics book of John chapter 12, Moderato 120 bpm, Bb Ionian"
"ranchera-Mariachi Fusion, MC (Female), djembe, steel drum, Brass, Larghetto 64 bpm, G# Mixolydian"
"Serialism, rapid-fire vocals (Male), accordion, bajo sexto, biblically inspired lyrics book of 1 John chapter 1, Larghetto 64 bpm, D# Lydian"
"Britpop, Soprano (female), violin, synth, harp, Andante 86 bpm, F Ionian"
"son jarocho, MC (Male), banjo, bağlama, biblically inspired lyrics book of Obadiah chapter 1, Largo 57 bpm, C Ionian"
"Soul Drum Solos, Baritone (male), cello, tambourine, guttural throat singing, Larghetto 65 bpm, Db Locrian"
"fast thrash metal, rapid-fire vocals (Male), vihuela, violin, biblically inspired lyrics book of Galatians chapter 1, Moderato 110 bpm, F# Mixolydian"
"lo-fi, Sygyt (male), ukulele, bass guitar, Strings, Larghetto 62 bpm, B Phrygian"
"Space music , Sygyt (male), horsehead fiddle, didgeridoo, biblically inspired lyrics book of Romans chapter 3, Moderato 116 bpm, Db Lydian"
"alternative rock, Tenor (male), french horn, accordion, horn, Prestissimo 389 bpm, Eb Lydian"
"rap rock, Contralto (female), organ, guttural throat singing, biblically inspired lyrics book of 2 Thessalonians chapter 1, Allegro 157 bpm, F# Phrygian"
"Hip Hop/Rap, Bass (male), oboe, saxophone, didgeridoo, Andante 89 bpm, D Mixolydian"
"Soul Drum Solos, Tenor (male), tambourine, marimba, biblically inspired lyrics book of 2 Samuel chapter 12, Prestissimo 286 bpm, D Dorian"
"darkwave, cryptic lyricism (Female), cowbell, electric guitar, Computer-based Effects, Adagio 72 bpm, B Ionian"
"90s Tech House, Bass (male), banjo, harmonica, accordion, Moderato 113 bpm, C# Mixolydian"
"fast jazz fusion, Tenor (male), beat, guttural throat singing, biblically inspired lyrics book of Philippians chapter 3, Allegro 159 bpm, B Ionian"
"heavy metal, Bass (male), vihuela, guttural throat singing, fiddle, Adagio 67 bpm, B Mixolydian"
"Halftime Drum n Bass, cryptic lyricism (Male), trombone, bajo sexto, biblically inspired lyrics book of Nahum chapter 2, Prestissimo 326 bpm, A Aeolian"
"Progressive Trance, MC (Female), banjo, oboe, bassoon, Prestissimo 274 bpm, D# Mixolydian"
"Bass Solos, Rapper (Male), zither, horsehead fiddle, biblically inspired lyrics book of 2 Kings chapter 23, Larghetto 66 bpm, E Aeolian"
"warm, Rapper (Female), harmonica, double bass, bassoon, Presto 184 bpm, Gb Mixolydian"
"American hip hop, Bass (male), organ, cowbell, biblically inspired lyrics book of 2 Corinthians chapter 12, Presto 193 bpm, Bb Dorian"
"Pop Drum Solos, rapid-fire vocals (Male), drums, double bass, triangle, Allegro 139 bpm, Eb Mixolydian"
"Serialism, twelve-tone technique, mathematical, Rapper (Female), accordion, vibraphone, biblically inspired lyrics book of 1 Timothy chapter 5, Adagio 73 bpm, Eb Lydian"
"slow tango, Sygyt (male), harp, sub-bass, djembe, Moderato 108 bpm, C Phrygian"
"Electronic Drum n Bass, Countertenor (male), ukulele, cello, biblically inspired lyrics book of Colossians chapter 2, Andante 88 bpm, B Locrian"
"Dubstep, Ezengileer (male), acoustic guitar, drums, jarana, Largo 40 bpm, Eb Lydian"
"Romantic, Emotional expression, expanded orchestra, Bass (male), harmonica, castanets, biblically inspired lyrics book of Psalms chapter 105, Allegro 158 bpm, Ab Ionian"
"noise rock, MC (Male), cowbell, castanets, conga, Moderato 119 bpm, D# Locrian"
"american folk, Khoomei (male), accordion, mandolin, biblically inspired lyrics book of Galatians chapter 2, Prestissimo 229 bpm, Db Aeolian"
"progressive metal djent, cryptic lyricism (Female), drums, tuba, steel drum, Prestissimo 258 bpm, F Dorian"
"Programmatic Music, Mezzo-Soprano (female), bongo, drums, biblically inspired lyrics book of 2 Peter chapter 1, Prestissimo 373 bpm, B Aeolian"
"breakcore, Tenor (male), xylophone, oud, triangle, Presto 182 bpm, G Ionian"
"heavy sludge metal, Tenor (male), oud, tambourine, biblically inspired lyrics book of Judges chapter 13, Moderato 120 bpm, E Mixolydian"
"Dubstep, Khoomei (male), tambourine, synth, Strings, Larghetto 66 bpm, D# Dorian"
"fast drum and bass, Soprano (female), horn, piano, biblically inspired lyrics book of Matthew chapter 19, Andante 78 bpm, G# Dorian"
"soft keys, Bass (male), synth, castanets, mongolian guitar, Moderato 112 bpm, Eb Lydian"
"corrido, Rapper (Male), plucked bass, electric guitar, biblically inspired lyrics book of 1 Chronicles chapter 4, Andante 83 bpm, E Mixolydian"
"Jazz-funk, Soprano (female), castanets, bağlama, bass guitar, Largo 53 bpm, B Lydian"
"Renaissance, cryptic lyricism (Male), harp, beat, biblically inspired lyrics book of Haggai chapter 1, Andante 76 bpm, Bb Ionian"
"80s heart throb freestyle, MC (Female), guitar, violin, zither, Presto 175 bpm, Eb Ionian"
"fast salsa, Emcee (Female), accordion, zither, biblically inspired lyrics book of Jude chapter 1, Andante 76 bpm, E Ionian"
"slow country folk, Bass (male), harp, synth, bass guitar, Allegro 135 bpm, A Lydian"
"Pop Drum Loop, Tenor (male), guttural throat singing, clarinet, biblically inspired lyrics book of Psalms chapter 7, Moderato 120 bpm, C# Locrian"
"Reggae Drum Solos, MC (Female), horn, synth, cowbell, Largo 55 bpm, F Aeolian"
"EDM Techno, cryptic lyricism (Male), acoustic guitar, steel drum, biblically inspired lyrics book of Deuteronomy chapter 16, Adagio 66 bpm, Gb Locrian"
"Video Game OST, MC (Male), kemenche, harmonica, drums, Adagio 76 bpm, Db Dorian"
"Romantic, programmatic music, lyrical melodies, Ezengileer (male), harp, kazoo, biblically inspired lyrics book of 1 Corinthians chapter 12, Allegro 154 bpm, Eb Locrian"
"Early Metal, Mezzo-Soprano (female), kemenche, tabla, jarana, Larghetto 62 bpm, G Ionian"
"powernoise, Bass (male), vibraphone, djembe, biblically inspired lyrics book of Hosea chapter 6, Prestissimo 394 bpm, D# Aeolian"
"emotive vocals, Ezengileer (male), horsehead fiddle, banjo, acoustic guitar, Presto 185 bpm, D# Lydian"
"Early Metal, rapid-fire vocals (Male), vibraphone, beat, biblically inspired lyrics book of 2 Thessalonians chapter 3, Presto 185 bpm, C# Ionian"
"Burning Jazz, Bass (male), Brass, castanets, castanets, Adagio 74 bpm, Ab Ionian"
"jungle, Ezengileer (male), bassoon, cowbell, biblically inspired lyrics book of Zephaniah chapter 1, Moderato 112 bpm, F Locrian"
"heavy dubstep, Khoomei (male), trombone, cowbell, bağlama, Moderato 111 bpm, Bb Mixolydian"
"Freestyle Music Mix, Bass (male), bajo sexto, Brass, biblically inspired lyrics book of Micah chapter 1, Adagio 69 bpm, D# Ionian"
"industrial, Soprano (female), piano, castanets, Ondes Martenot, Adagio 73 bpm, A# Dorian"
"art rock, Tenor (male), accordion, zither, piano, Allegro 151 bpm, Db Phrygian"
"symphonic metal, Ezengileer (male), bajo sexto, zither, biblically inspired lyrics book of Ruth chapter 3, Andante 106 bpm, Db Mixolydian"
"celtic guitar melody, Contralto (female), bongo, harmonica, accordion, Prestissimo 411 bpm, C# Mixolydian"
"Freestyle Electro, Kargyraa (male), conga, bağlama, biblically inspired lyrics book of Exodus chapter 11, Prestissimo 330 bpm, Bb Lydian"
"Soul Drum Solos, Baritone (male), oud, Sampler, bajo sexto, Andante 86 bpm, Bb Aeolian"
"Romantic, MC (Male), Computer-based Effects, saxophone, biblically inspired lyrics book of Jude chapter 1, Allegro 144 bpm, Db Ionian"
"Corporate Instrumental, MC (Male), bass guitar, bass guitar, electric guitar, Prestissimo 409 bpm, D Phrygian"
"slow folk ballad, Ezengileer (male), harmonica, tuba, biblically inspired lyrics book of Jeremiah chapter 45, Allegro 122 bpm, A# Dorian"
"Mo Town, Tenor (male), piano, bongo, guttural throat singing, Largo 47 bpm, D Aeolian"
"Jump Up Drum n Bass, Bass (male), oboe, Sampler, biblically inspired lyrics book of Hosea chapter 2, Allegro 139 bpm, G Locrian"
"alternative rock, MC (Male), harp, castanets, bass guitar, Largo 60 bpm, G Aeolian"
"Hardstyle 150 BPM, cryptic lyricism (Male), djembe, bongo, biblically inspired lyrics book of Zephaniah chapter 3, Largo 60 bpm, Eb Aeolian"
"Oldskool Latin Freestyle, Soprano (female), castanets, horn, mongolian guitar, Presto 193 bpm, F Dorian"
"Triphop, Bass (male), clarinet, triangle, biblically inspired lyrics book of Joshua chapter 10, Prestissimo 323 bpm, C# Ionian"
"norteño, Bass (male), trombone, oboe, flute, Allegro 163 bpm, D Phrygian"
"Fusion Freestyle, Khoomei (male), beat, clarinet, biblically inspired lyrics book of 1 Peter chapter 1, Andante 80 bpm, C# Phrygian"
"Jazz Drum Loop, rapid-fire vocals (Male), guttural throat singing, bassoon, oud, Larghetto 63 bpm, C# Locrian"
"chillwave, Emcee (Male), steel drum, bagpipes, biblically inspired lyrics book of Ezekiel chapter 8, Larghetto 66 bpm, F# Aeolian"
"Blues Drum Solos, Baritone (male), cello, bagpipes, ukulele, Larghetto 65 bpm, C# Ionian"
"smooth, Rapper (Male), acoustic guitar, bass guitar, biblically inspired lyrics book of Micah chapter 4, Presto 192 bpm, Gb Aeolian"
"heavy sludge metal, Chylandyk (male), mandolin, sub-bass, mandolin, Andante 101 bpm, C# Phrygian"
"Modernism, dissonant, abstract., Mezzo-Soprano (female), bağlama, tabla, biblically inspired lyrics book of 2 Timothy chapter 1, Andante 87 bpm, E Mixolydian"
"fast techno, rapid-fire vocals (Male), tambourine, Harmonium, double bass, Adagio 70 bpm, B Aeolian"
"Halftime Drum n Bass, Tenor (male), kazoo, piano, biblically inspired lyrics book of Zephaniah chapter 1, Prestissimo 272 bpm, Ab Aeolian"
"lo-fi house, Soprano (female), cowbell, drums, banjo, Presto 180 bpm, F# Phrygian"
"Fusion Freestyle, Baritone (male), double bass, kazoo, biblically inspired lyrics book of Genesis chapter 42, Allegro 159 bpm, C Lydian"
"acid jazz, Mezzo-Soprano (female), bağlama, guitar, harp, Prestissimo 288 bpm, D# Phrygian"
"Corporate Upbeat, cryptic lyricism (Female), castanets, Ondes Martenot, biblically inspired lyrics book of Joshua chapter 17, Moderato 113 bpm, B Mixolydian"
"gospel soul, MC (Male), vihuela, cowbell, harp, Moderato 120 bpm, E Aeolian"
"Avant-garde, Rapper (Female), violin, cello, biblically inspired lyrics book of Nehemiah chapter 8, Adagio 74 bpm, A# Locrian"
"metalcore djent screamo, Tenor (male), synthesizer, drums, conga, Moderato 116 bpm, Gb Mixolydian"
"slow tango, Rapper (Female), Brass, oboe, biblically inspired lyrics book of 2 Peter chapter 1, Moderato 111 bpm, E Aeolian"
"experimental rock, MC (Female), saxophone, trombone, kazoo, Presto 168 bpm, G Lydian"
"Gospel Rap, Tenor (male), bajo sexto, cowbell, biblically inspired lyrics book of 2 John chapter 1, Largo 40 bpm, C# Lydian"
"Soundtrack, Baritone (male), guttural throat singing, bağlama, tabla, Prestissimo 244 bpm, C Ionian"
"rap rock, Tenor (male), saxophone, organ, biblically inspired lyrics book of Judges chapter 19, Prestissimo 325 bpm, Gb Lydian"
"Math Rock, cryptic lyricism (Female), Sampler, synthesizer, french horn, Prestissimo 266 bpm, C# Phrygian"
"Synth Solos, rapid-fire vocals (Female), acoustic guitar, acoustic guitar, biblically inspired lyrics book of John chapter 5, Prestissimo 384 bpm, D Mixolydian"
"gospel soul, Khoomei (male), jarana, vihuela, acoustic guitar, Prestissimo 411 bpm, Ab Ionian"
"NYC Hip Hop, cryptic lyricism (Female), cello, kemenche, biblically inspired lyrics book of Joel chapter 1, Moderato 111 bpm, C# Locrian"
"Post-Rock, Bass (male), Brass, synthesizer, vibraphone, Allegro 126 bpm, G Mixolydian"
"Choral Music, choir, religious, ceremonial, Bass (male), violin, vihuela, biblically inspired lyrics book of Song of Solomon chapter 6, Largo 60 bpm, F# Dorian"
"acid jazz, Khoomei (male), zither, Harmonium, tuba, Prestissimo 318 bpm, A Mixolydian"
"kpop, Rapper (Male), sub-bass, fiddle, mandolin, Largo 43 bpm, F Phrygian"
"binaural beats, theta wave, Baritone (male), didgeridoo, clarinet, biblically inspired lyrics book of Song of Solomon chapter 7, Prestissimo 391 bpm, Ab Locrian"
"Minimalism, simple motifs, meditative quality, Ezengileer (male), djembe, cello, cello, Allegro 162 bpm, C# Lydian"
"American Christian hip hop, Chylandyk (male), vibraphone, bajo sexto, biblically inspired lyrics book of 1 Samuel chapter 1, Presto 181 bpm, G Aeolian"
"Drum n Bass BPM 160-180, Contralto (female), jarana, clarinet, cello, Prestissimo 262 bpm, D Ionian"
"ranchera, Chylandyk (male), synthesizer, bass guitar, biblically inspired lyrics book of John chapter 3, Presto 177 bpm, F Phrygian"
"Fantasy RPG Video Game OST, Rapper (Female), cowbell, tambourine, sub-bass, Presto 180 bpm, Ab Dorian"
"heavy sludge metal, Mezzo-Soprano (female), bassoon, tambourine, biblically inspired lyrics book of Leviticus chapter 26, Larghetto 60 bpm, Db Locrian"
"mongolian folk metal, MC (Female), Brass, marimba, violin, Larghetto 61 bpm, D# Phrygian"
"Progressive Rock, MC (Female), Brass, conga, biblically inspired lyrics book of Judges chapter 12, Larghetto 66 bpm, G Ionian"
"String Solos, Rapper (Female), steel drum, cello, cello, Moderato 112 bpm, D# Ionian"
"narcocorridos, Soprano (female), french horn, trumpet, biblically inspired lyrics book of 2 Corinthians chapter 13, Largo 42 bpm, Ab Lydian"
"art rock, Rapper (Female), bass guitar, kemenche, oud, Larghetto 66 bpm, C Locrian"
"future garage, Rapper (Male), ukulele, djembe, biblically inspired lyrics book of Song of Solomon chapter 5, Presto 181 bpm, A# Aeolian"
"Hardstyle, Rapper (Female), mandolin, synthesizer, acoustic guitar, Prestissimo 276 bpm, D Locrian"
"Video Game OST, Rapper (Female), cello, conga, biblically inspired lyrics book of Habakkuk chapter 2, Moderato 113 bpm, G Lydian"
"Electronic Drum n Bass, Mezzo-Soprano (female), organ, bass guitar, vibraphone, Moderato 114 bpm, F Aeolian"
"Avant-Garde, unconventional, Experimental, Borbangnadyr (male), tambourine, french horn, biblically inspired lyrics book of 1 Timothy chapter 5, Prestissimo 227 bpm, C# Dorian"
"Fantasy RPG Video Game OST, MC (Female), fiddle, bajo sexto, bağlama, Presto 183 bpm, F Aeolian"
"heavy metal, Borbangnadyr (male), vibraphone, french horn, biblically inspired lyrics book of James chapter 3, Larghetto 60 bpm, B Locrian"
"Classical, Emcee (Female), bongo, guitar, bağlama, Prestissimo 365 bpm, Bb Ionian"
"60s Proto Metal, Tenor (male), bagpipes, double bass, biblically inspired lyrics book of 1 Corinthians chapter 4, Allegro 150 bpm, F# Lydian"
"heavy doom metal, MC (Male), drums, bağlama, sub-bass, Largo 55 bpm, A# Ionian"
"Suite bergamasque, cryptic lyricism (Male), mongolian guitar, Brass, biblically inspired lyrics book of Isaiah chapter 1, Adagio 70 bpm, G# Phrygian"
"Neurofunk 170-180 BPM, Kargyraa (male), cello, Ondes Martenot, Harmonium, Larghetto 64 bpm, F# Locrian"
"Trance, rapid-fire vocals (Male), plucked bass, marimba, biblically inspired lyrics book of John chapter 2, Allegro 127 bpm, B Locrian"
"Triphop, Rapper (Female), banjo, cello, xylophone, Prestissimo 385 bpm, A Mixolydian"
"Hip Hop/Rap, Contralto (female), ukulele, didgeridoo, biblically inspired lyrics book of 1 Chronicles chapter 16, Andante 82 bpm, Ab Lydian"
"Progressive Rock, MC (Female), bongo, oboe, synth, Andante 95 bpm, Db Ionian"
"Country Drum Solos, Tenor (male), djembe, mandolin, biblically inspired lyrics book of 1 Samuel chapter 12, Prestissimo 312 bpm, F Dorian"
"Breakcore Drum n Bass, MC (Male), bagpipes, castanets, beat, Andante 91 bpm, F Mixolydian"
